Poo 1998,Pre base spike num,Pre base spike freq,Post base spike num,Post base spike freq,Potocol occurance,Protocol freq,dt1,dt2,dt3,dw_mean,dw_ste
1,1,0,1,0,60,1,5,0,0,48.4,0
1,1,0,1,0,60,1,-6,0,0,-18,0
1,1,0,1,0,60,1,6.5,0,0,99.14,0
1,1,0,1,0,60,1,7.3,0,0,92.06,0
1,1,0,1,0,60,1,7.3,0,0,81.43,0
1,1,0,1,0,60,1,1.8,0,0,87.34,0
1,1,0,1,0,60,1,-2.1,0,0,74.77,0
1,1,0,1,0,60,1,8.1,0,0,70.81,0
1,1,0,1,0,60,1,6,0,0,59.5,0
1,1,0,1,0,60,1,6.5,0,0,57,0
1,1,0,1,0,60,1,7.4,0,0,52,0
1,1,0,1,0,60,1,16.7,0,0,44,0
1,1,0,1,0,60,1,18.1,0,0,37,0
1,1,0,1,0,60,1,7.9,0,0,34.5,0
1,1,0,1,0,60,1,6.5,0,0,34.5,0
1,1,0,1,0,60,1,4.2,0,0,31,0
1,1,0,1,0,60,1,-2.9,0,0,23.61,0
1,1,0,1,0,60,1,4.7,0,0,22.5,0
1,1,0,1,0,60,1,7,0,0,21,0
1,1,0,1,0,60,1,26.5,0,0,16.5,0
1,1,0,1,0,60,1,36.3,0,0,19,0
1,1,0,1,0,60,1,77.7,0,0,11,0
1,1,0,1,0,60,1,-102.9,0,0,-1.58,0
1,1,0,1,0,60,1,-80,0,0,-13.5,0
1,1,0,1,0,60,1,-75.3,0,0,2,0
1,1,0,1,0,60,1,-67.9,0,0,0,0
1,1,0,1,0,60,1,-63.3,0,0,-1.5,0
1,1,0,1,0,60,1,-64.7,0,0,-7,0
1,1,0,1,0,60,1,-43.3,0,0,-13.5,0
1,1,0,1,0,60,1,-24.2,0,0,-9,0
1,1,0,1,0,60,1,-24.2,0,0,-16,0
1,1,0,1,0,60,1,-19.5,0,0,-21.84,0
1,1,0,1,0,60,1,-17.7,0,0,-14,0
1,1,0,1,0,60,1,-14.9,0,0,-5,0
1,1,0,1,0,60,1,-10.2,0,0,-35,0
1,1,0,1,0,60,1,-7.9,0,0,-25,0
1,1,0,1,0,60,1,-3.3,0,0,0.5,0
1,1,0,1,0,60,1,-4.2,0,0,-13.5,0
1,1,0,1,0,60,1,-4.2,0,0,-16.5,0
1,1,0,1,0,60,1,-11.4,0,0,-29.725,0
1,1,0,1,0,60,1,-4.5,0,0,-33.85,0
1,1,0,1,0,60,1,-4.1,0,0,-39.93,0
1,1,0,1,0,60,1,8.4,0,0,2,0
1,1,0,1,0,60,1,26,0,0,16.5,0
1,1,0,1,0,60,1,27,0,0,2.5,0
1,1,0,1,0,60,1,35.8,0,0,19.5,0
1,1,0,1,0,60,1,58.6,0,0,-10.5,0
1,1,0,1,0,60,1,77.7,0,0,11.5,0
1,1,0,1,0,60,1,87.4,0,0,-3.5,0
1,1,0,1,0,60,1,97.2,0,0,3.5,0
2,5,40,5,40,15,0.1,10,0,0,50,10.72124756
2,1,0,1,0,50,0.5,10,0,0,0,4.580896686
2,5,10,5,10,15,0.1,10,0,0,14.1,9.454191033
2,5,20,5,20,15,0.1,10,0,0,29.1,13.64522417
2,5,50,5,50,15,0.1,10,0,0,54.9,26.60818713
3,1,0,1,0,50,0.5,-10,0,0,-31.7,9.174311927
3,1,0,1,0,50,0.5,0,0,0,-11,11.9266055
3,1,0,1,0,50,0.5,10,0,0,-4.9,8.256880734
4,5,20,5,20,15,0.1,-25,0,0,-30.1,7.798165138
4,5,20,5,20,15,0.1,-10,0,0,-35.5,9.633027523
4,5,20,5,20,15,0.1,0,0,0,-24.1,10.55045872
4,5,20,5,20,15,0.1,10,0,0,28.9,14.67889908
4,5,20,5,20,15,0.1,25,0,0,-36.8,19.72477064
5,5,40,5,40,15,0.1,-10,0,0,49.1,16.05504587
5,5,40,5,40,15,0.1,0,0,0,-8.3,5.963302752
5,5,40,5,40,15,0.1,10,0,0,51.8,14.22018349
6,5,100,5,100,15,0.1,0,0,0,24.2,7.083333333
6,5,40,5,40,15,0.1,0,0,0,-7,4.375
6,5,20,5,20,15,0.1,0,0,0,-24.4,10.41666667
6,1,0,1,0,50,0.5,0,0,0,-9.4,14.58333333
7,1,0,1,0,50,0.5,-10,0,0,-31,6.8
7,5,10,5,10,15,0.1,-10,0,0,-41.3,10.4
7,5,20,5,20,15,0.1,-10,0,0,-34.1,8.8
7,5,40,5,40,15,0.1,-10,0,0,52.5,30.4
7,5,50,5,50,15,0.1,-10,0,0,72.1,19.6
8,2,50,1,0,60,1,15,-5,0,0.0,3.146067416
8,2,50,1,0,60,1,5,-15,0,23.6,5.280898876
8,1,50,2,0,60,1,-5,15,0,21.1,7.528089888
8,1,50,2,0,60,1,-15,5,0,28.8,4.719101124
9,2,0,2,0,60,1,5,-108.5,-5,7.510638298,0
9,2,0,2,0,60,1,5,-108.8,-5,-9.510638298,0
