ptl_idx,pre_spk_num,pre_spk_freq,post_spk_num,post_spk_freq,ptl_occ,ptl_freq,dt1,dt2,dt3,dw_mean,dw_ste,train_len
1,1,0,1,0,60,1,-102.8980457,0,0,-1.322590176,0,60
1,1,0,1,0,60,1,-75.5798959,0,0,2.674768207,0,60
1,1,0,1,0,60,1,-80.87147314,0,0,-12.69644859,0,60
1,1,0,1,0,60,1,-67.56223877,0,0,0.231445677,0,60
1,1,0,1,0,60,1,-63.55341021,0,0,-0.990215587,0,60
1,1,0,1,0,60,1,-64.78263136,0,0,-6.249858795,0,60
1,1,0,1,0,60,1,-43.93557581,0,0,-12.35964234,0,60
1,1,0,1,0,60,1,-24.24318523,0,0,-7.943491975,0,60
1,1,0,1,0,60,1,-24.27186069,0,0,-14.01486779,0,60
1,1,0,1,0,60,1,-15.39202822,0,0,-3.912157524,0,60
1,1,0,1,0,60,1,-17.83900036,0,0,-12.00289361,0,60
1,1,0,1,0,60,1,-20.29170758,0,0,-21.30790487,0,60
1,1,0,1,0,60,1,-12.70035888,0,0,-29.01234782,0,60
1,1,0,1,0,60,1,-8.253751705,0,0,-22.54433834,0,60
1,1,0,1,0,60,1,-5.030630599,0,0,-20.12169689,0,60
1,1,0,1,0,60,1,-4.202865808,0,0,-14.86131507,0,60
1,1,0,1,0,60,1,-4.996220054,0,0,-12.83604592,0,60
1,1,0,1,0,60,1,-5.894717634,0,0,-33.07248807,0,60
1,1,0,1,0,60,1,-4.722847386,0,0,-39.95559649,0,60
1,1,0,1,0,60,1,-4.128309625,0,0,0.924262042,0,60
1,1,0,1,0,60,1,-3.621709926,0,0,23.18523475,0,60
1,1,0,1,0,60,1,-2.574099982,0,0,74.99283114,0,60
1,1,0,1,0,60,1,1.503549674,0,0,88.34247182,0,60
1,1,0,1,0,60,1,3.637003502,0,0,30.05283235,0,60
1,1,0,1,0,60,1,6.802773699,0,0,20.33272217,0,60
1,1,0,1,0,60,1,4.799315265,0,0,21.145932,0,60
1,1,0,1,0,60,1,6.716747334,0,0,2.118594729,0,60
1,1,0,1,0,60,1,4.77063981,0,0,100.0745562,0,60
1,1,0,1,0,60,1,6.342054727,0,0,92.78595077,0,60
1,1,0,1,0,60,1,6.695718668,0,0,82.66625247,0,60
1,1,0,1,0,60,1,7.041735821,0,0,70.92752062,0,60
1,1,0,1,0,60,1,4.963721205,0,0,55.95515333,0,60
1,1,0,1,0,60,1,6.15662012,0,0,53.52438717,0,60
1,1,0,1,0,60,1,6.537047818,0,0,49.0713063,0,60
1,1,0,1,0,60,1,5.256210843,0,0,32.88318663,0,60
1,1,0,1,0,60,1,7.26349267,0,0,32.87949357,0,60
1,1,0,1,0,60,1,16.14523683,0,0,43.38696223,0,60
1,1,0,1,0,60,1,15.70363483,0,0,34.8877747,0,60
1,1,0,1,0,60,1,25.64828251,0,0,15.44090684,0,60
1,1,0,1,0,60,1,26.39575603,0,0,3.70143638,0,60
1,1,0,1,0,60,1,34.8970725,0,0,18.66198591,0,60
1,1,0,1,0,60,1,57.24481018,0,0,-9.712463395,0,60
1,1,0,1,0,60,1,76.61221227,0,0,10.89476108,0,60
1,1,0,1,0,60,1,86.58362371,0,0,-2.885489351,0,60
1,1,0,1,0,60,1,95.4481626,0,0,3.979153813,0,60
2,2,0,1,0,60,1,-10,10,0,27.1536019,0,60
2,2,0,1,0,60,1,-10,10,0,15.28236449,0,60
2,2,0,1,0,60,1,-10,10,0,14.31243442,0,60
2,2,0,1,0,60,1,-10,10,0,-10.07437873,0,60
2,2,0,1,0,60,1,-10,10,0,-11.59855456,0,60
2,2,0,1,0,60,1,-10,10,0,11.12565457,0,60
2,2,0,1,0,60,1,-10,10,0,8.077302929,0,60
2,2,0,1,0,60,1,-10,10,0,2.119161077,0,60
2,2,0,1,0,60,1,-10,10,0,0.733546693,0,60
2,2,0,1,0,60,1,-10,10,0,-5.155314439,0,60
2,2,0,1,0,60,1,-10,10,0,-5.986683069,0,60
2,2,0,1,0,60,1,-10,10,0,-14.36951686,0,60
2,2,0,1,0,60,1,-5,5,0,-0.232386411,0,60
2,2,0,1,0,60,1,-5,5,0,11.12978477,0,60
2,2,0,1,0,60,1,-5,5,0,7.942871687,0,60
2,2,0,1,0,60,1,-5,5,0,-7.437447976,0,60
2,2,0,1,0,60,1,-5,5,0,5.171909383,0,60
2,2,0,1,0,60,1,-5,5,0,-17.55216652,0,60
2,1,0,2,0,60,1,5,-5,0,38.01064475,0,60
2,1,0,2,0,60,1,5,-5,0,29.12179775,0,60
2,1,0,2,0,60,1,5,-5,0,32.94408743,0,60
2,1,0,2,0,60,1,5,-5,0,28.81077358,0,60
2,1,0,2,0,60,1,5,-5,0,28.27744276,0,60
2,1,0,2,0,60,1,5,-5,0,43.69967776,0,60
2,1,0,2,0,60,1,5,-5,0,14.74104226,0,60
2,1,0,2,0,60,1,5,-5,0,2.963319994,0,60
2,1,0,2,0,60,1,10,-10,0,42.23712055,0,60
2,1,0,2,0,60,1,10,-10,0,18.90188238,0,60
2,1,0,2,0,60,1,10,-10,0,28.68162889,0,60
2,1,0,2,0,60,1,10,-10,0,40.54832509,0,60
2,1,0,2,0,60,1,10,-10,0,30.99290005,0,60
2,1,0,2,0,60,1,10,-10,0,36.32637918,0,60
2,1,0,2,0,60,1,10,-10,0,7.262988014,0,60
2,1,0,2,0,60,1,10,-10,0,-1.81265297,0,60
3,2,0,2,0,60,1,5,-115.614439,-5,8.242655342,0,60
